Age_Ma,Logo,Epoch,Type,T_C,CO2_ppm,CH4_ppb,H2O_vap,CCN,T_sim_K,T_sim_C,dT_K,Source,Commentaire,
-330,🍄,Paléozoïque terrestre,stable,14,600,400,0.7,Haut,,,,Royer2007,Début Karoo — chute massive CO2,
-300,🍄,Paléozoïque terrestre,stable,12,400,350,0.65,Haut,,,,Montañez2007,Carbonifère sup. — glaciation Gondwana,
-280,💀,Limite P/T,extinction,12,300,300,0.6,Haut,,,,Montañez2007,Maximum Karoo — CO2 minimum historique,
-260,💀,Limite P/T,extinction,18,1500,800,1.0,Bas,,,,Joachimski2012,Pré-PT — réchauffement Trapps sibériens,
-252,💀,Limite P/T,extinction,28,3000,2000,1.5,Bas,,,,Joachimski2012,Extinction PT — anoxie / hyperthermie,
-250,💀,Limite P/T,extinction,26,2500,1500,1.4,Bas,,,,Joachimski2012,Bordure Trias — recovery démarre,
-220,🦕,Mésozoïque,stable,22,1800,1000,1.2,Moyen,,,,Royer2007,Trias supérieur,
-200,🦕,Mésozoïque,stable,21,2000,1100,1.2,Moyen,,,,Royer2007,Limite T-J — CAMP / extinction mineure,
-150,🦕,Mésozoïque,stable,24,1500,1000,1.3,Moyen,,,,Royer2007,Jurassique sup. — climat chaud stable,
-100,🦕,Mésozoïque,stable,24,1200,1000,1.3,Moyen,,,,Royer2007,Crétacé moyen — pas de glaces polaires,
-70,🦕,Mésozoïque,stable,22,900,900,1.2,Moyen,,,,Royer2007,Crétacé sup. — refroidissement amorcé,
-66,🦕,Mésozoïque,stable,18,800,900,1.1,Bas,,,,Vellekoop2014,Limite K/Pg — impact Chicxulub,
-60,🦤,Cénozoïque,recovery,20,700,800,1.1,Moyen,,,,Royer2007,Paléocène — radiation mammifères/oiseaux,
-56,🐊,Éocène,hot,26,2000,3000,1.4,Haut,,,,Zachos2008,PETM — pic CH4 clathrates,
-50,🐊,Éocène,hot,24,1500,2000,1.35,Haut,,,,Zachos2008,Éocène inf. — climat chaud post-PETM,
-40,🐊,Éocène,hot,18,800,800,1.1,Moyen,,,,Zachos2008,Éocène sup. — refroidissement progressif,
-36,🐊,Éocène,hot,17,600,700,1.05,Moyen,,,,Zachos2008,Pré-EO — retour glace Sud,
-35,🐧,Eocène-Oligocène,hyst2,16,500,600,0.9,Moyen,,,,Zachos2008,Entrée hyst 2 — bascule calotte,
-34,🐧,Eocène-Oligocène,hyst2,15,450,500,0.8,Moyen,,,,Zachos2008,Hyst 2 — calotte Antarctique se forme,
-33,🐧,Eocène-Oligocène,hyst2,13,400,500,0.75,Moyen,,,,Zachos2008,Sortie hyst 2 — Oi-1,
-30,🏔,Grande Coupure,cool,14,500,500,0.8,Moyen,,,,Zachos2008,Oligocène — Antarctique stable,
-20,🏔,Grande Coupure,cool,16,400,500,0.85,Moyen,,,,Zachos2008,Miocène moyen — optimum climatique,
-10,🏔,Grande Coupure,cool,14,380,500,0.8,Moyen,,,,Zachos2008,Miocène sup. — Himalaya / altération silicates,
-4,🏔,Grande Coupure,cool,13,350,450,0.7,Moyen,,,,Pagani2010,Pliocène — glace Nord, Milankovitch
-2,🦣,Quaternaire,cycles,12,280,500,0.7,Moyen,,,,Lisiecki2005,Début Pléistocène — glaciations,
-0.1,🦣,Quaternaire,cycles,10,180,400,0.6,Moyen,,,,Petit1999,LGM — Dernier Maximum Glaciaire (Vostok),
-0.02,🦣,Quaternaire,cycles,13,220,500,0.7,Moyen,,,,Petit1999,Sortie glaciation — Tardiglaciaire,
-0.0115,🛖,Holocène,interglaciaire,14,260,650,0.85,Moyen,,,,Marcott2013,Début Holocène — agriculture,
-0.005,🛖,Holocène,interglaciaire,14.2,265,700,0.9,Moyen,,,,Marcott2013,Optimum Holocène,
-0.0002,🚂,Industriel,anthropic,14.5,280,700,0.95,Moyen,,,,IPCC2021,1800 — début ère industrielle,
-0.000075,🚂,Industriel,anthropic,14.7,310,1100,0.97,Haut,,,,NOAA,1950 — accélération CO2,
-0.000025,📱,Aujourd'hui,anthropic,15.1,369,1750,1.0,Haut,,,,NOAA,2000 — référence GISS,
0,📱,Aujourd'hui,anthropic,15.6,425,1925,1.0,Haut,,,,NOAA,2025 — record chaud observé,
0.000025,📱,Aujourd'hui,anthropic,16.5,550,2200,1.05,Haut,,,,IPCC_SSP3,2050 — scénario médian-haut,
0.000075,📱,Aujourd'hui,anthropic,17.5,700,2500,1.1,Haut,,,,IPCC_SSP3,2075 — projection,
0.0001,📱,Aujourd'hui,anthropic,18.5,850,2800,1.15,Haut,,,,IPCC_SSP3,2100 — terminus frise,
